date,realized_var,vix_forecast,garch_forecast,intra_forecast,blair_forecast,regime_forecast
2020-10-05,5.6209934765099184e-05,0.00018167602439106079,6.64739384271888e-05,6.641703113513861e-05,0.00010226666619855398,9.991354351677095e-05
2020-10-06,0.000185856846017,0.00020557250350264556,6.968109686263248e-05,5.6209934765099184e-05,0.00011447422256804605,0.00011240793498448763
2020-10-07,5.40826136205776e-05,0.0001830307163224279,8.445094798677527e-05,0.000185856846017,0.00011460689551265549,9.73033984801325e-05
2020-10-08,1.11689607241243e-05,0.0001573840857555898,8.219145335531016e-05,5.40826136205776e-05,0.00010212014468464871,8.313299622912214e-05
2020-10-09,1.7642009753239887e-05,0.0001379874240556866,7.222730061653119e-05,1.11689607241243e-05,8.727602541709662e-05,7.399940340566985e-05
2020-10-12,7.327850677115407e-05,0.00013882884287502687,6.536691465351482e-05,1.7642009753239887e-05,8.310774008495167e-05,7.58402891108715e-05
2020-10-13,3.2035632840196934e-05,0.00015283534265581107,6.705168997232472e-05,7.327850677115407e-05,9.016918116459454e-05,8.344379574670827e-05
2020-10-14,6.5964505439037e-05,0.00015745669980527055,6.360110604847603e-05,3.2035632840196934e-05,8.983144567851281e-05,8.655026851656683e-05
2020-10-15,6.976587273484565e-05,0.00016571983810247006,6.16190390831914e-05,6.5964505439037e-05,9.202215317409272e-05,9.165790793325833e-05
2020-10-16,3.6749642751654686e-05,0.00017218483844994503,5.526724536481997e-05,6.976587273484565e-05,9.057852660052864e-05,9.655375020060693e-05
2020-10-19,0.0002048854276112,0.0001995473998454585,5.0277588236671084e-05,3.6749642751654686e-05,9.885325908663241e-05,0.000112246528939113
2020-10-20,5.144990032963997e-05,0.00020230197346643742,7.884311182105883e-05,0.0002048854276112,0.00011893457962229704,0.00010912790507130208
2020-10-21,3.06619618282393e-05,0.0001909148246942887,6.841688737772805e-05,5.144990032963997e-05,0.00010715142176675919,0.0001047703761654243
2020-10-22,6.23182534077168e-05,0.0001823021355880565,6.05163215837883e-05,3.06619618282393e-05,9.817779220737025e-05,0.00010112748131114716
2020-10-23,2.045936227211432e-05,0.00017355169298991302,5.53586019251148e-05,6.23182534077168e-05,9.10296252940832e-05,9.701642160830908e-05
2020-10-26,0.0001825548150019,0.0002542093776995884,5.0859810240700646e-05,2.045936227211432e-05,0.0001221807703265363,0.0001420620576925657
2020-10-27,1.3505651292707362e-05,0.00027020388386810837,8.796824201009554e-05,0.0001825548150019,0.00015357169136437517,0.00014480015126346705
